System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:15:56:621,1203317393422976,65.0411,3399,60.2382,3489.0776,969.1882,49.9847,2846.4602,790.6834,0.0000,0.0016,0.0004,
22:15:57:622,1203320595467376,66.0417,3399,60.2834,3549.3724,985.9368,50.0973,2896.5670,804.6019,0.0016,0.0032,0.0009,
22:15:58:622,1203323797486911,67.0424,3399,60.2843,3609.6678,1002.6855,50.0988,2946.6750,818.5208,0.0000,0.0032,0.0009,
22:15:59:623,1203326999515583,68.0430,3399,59.7177,3669.3964,1019.2768,49.5374,2996.2215,832.2837,0.0000,0.0032,0.0009,
22:16:00:624,1203330201574896,69.0436,3399,59.4346,3728.8430,1035.7897,49.2186,3045.4501,845.9584,0.0000,0.0032,0.0009,
22:16:01:624,1203333403589498,70.0443,3399,59.8774,3788.7313,1052.4254,49.7076,3095.1667,859.7685,0.0000,0.0032,0.0009,
22:16:02:625,1203336605770201,71.0449,3399,60.6154,3849.3602,1069.2667,50.4607,3145.6387,873.7885,0.0000,0.0032,0.0009,
22:16:03:626,1203339807798684,72.0456,3399,60.7076,3910.0792,1086.1331,50.6226,3196.2708,887.8530,0.0000,0.0032,0.0009,
22:16:04:626,1203343009827991,73.0462,3399,60.4079,3970.4982,1102.9162,50.1614,3246.4414,901.7893,0.0000,0.0032,0.0009,
22:16:05:627,1203346211848785,74.0469,3399,59.5811,4030.0901,1119.4695,49.3469,3295.7973,915.4993,0.0000,0.0032,0.0009,
22:16:06:628,1203349413851991,75.0475,3399,59.7956,4089.8967,1136.0824,49.6546,3345.4610,929.2947,0.0000,0.0032,0.0009,
22:16:07:628,1203352615979554,76.0481,3399,60.6590,4150.5688,1152.9358,50.4990,3395.9709,943.3253,0.0000,0.0032,0.0009,
22:16:08:629,1203355818118775,77.0488,3399,60.3826,4210.9629,1169.7119,50.1912,3446.1717,957.2699,0.0000,0.0032,0.0009,
22:16:09:630,1203359020219665,78.0495,3399,60.8490,4271.8242,1186.6178,50.6751,3496.8570,971.3492,0.0000,0.0032,0.0009,
22:16:10:630,1203362222254832,79.0501,3399,59.8210,4331.6563,1203.2379,49.6112,3546.4774,985.1326,0.0000,0.0032,0.0009,
22:16:11:631,1203365424291345,80.0508,3399,59.6033,4391.2709,1219.7975,49.3832,3595.8699,998.8528,0.0000,0.0032,0.0009,
22:16:12:632,1203368626431892,81.0514,3399,60.1915,4451.4756,1236.5210,50.0391,3645.9200,1012.7556,0.0000,0.0032,0.0009,
22:16:13:632,1203371828450463,82.0521,3399,60.8568,4512.3436,1253.4288,50.7458,3696.6751,1026.8542,0.0000,0.0032,0.0009,
22:16:14:633,1203375030522245,83.0527,3399,60.9358,4573.2909,1270.3586,50.7562,3747.4409,1040.9558,0.0000,0.0032,0.0009,
22:16:15:633,1203378232537038,84.0533,3399,58.8183,4632.1198,1286.6999,48.5922,3796.0419,1054.4561,0.0000,0.0032,0.0009,
22:16:16:634,1203381434567008,85.0540,3399,59.8894,4692.0203,1303.3390,49.6928,3845.7438,1068.2622,0.0000,0.0032,0.0009,
22:16:17:635,1203384636709178,86.0546,3399,60.3923,4752.4260,1320.1183,50.3458,3896.1008,1082.2502,0.0000,0.0032,0.0009,
22:16:18:635,1203387838738332,87.0553,3399,59.8924,4812.3297,1336.7583,49.6475,3945.7576,1096.0438,0.0000,0.0032,0.0009,
22:16:19:636,1203391040763283,88.0559,3399,60.6792,4873.0200,1353.6167,50.4533,3996.2202,1110.0612,0.0000,0.0032,0.0009,
22:16:20:637,1203394242795158,89.0565,3399,60.8635,4933.8951,1370.5264,50.7668,4046.9967,1124.1658,0.0000,0.0032,0.0009,
22:16:21:637,1203397444848881,90.0572,3399,59.7523,4993.6589,1387.1275,49.4184,4096.4246,1137.8957,0.0000,0.0032,0.0009,
22:16:22:638,1203400646984979,91.0579,3400,60.3537,5054.0258,1403.8961,50.1788,4146.6144,1151.8373,0.0000,0.0032,0.0009,
22:16:23:639,1203403849017102,92.0585,3399,60.9493,5114.9865,1420.8296,50.8178,4197.4417,1165.9560,0.0000,0.0032,0.0009,
22:16:24:639,1203407051053024,93.0591,3399,60.6985,5175.6963,1437.6934,50.5402,4247.9913,1179.9976,0.0000,0.0032,0.0009,
22:16:25:640,1203410253077088,94.0598,3399,60.0103,5235.7178,1454.3660,49.7873,4297.7878,1193.8300,0.0000,0.0032,0.0009,
22:16:26:641,1203413455100296,95.0604,3399,60.1200,5295.8489,1471.0691,49.9433,4347.7404,1207.7057,0.0000,0.0032,0.0009,
22:16:27:641,1203416657164302,96.0610,3399,60.8301,5356.6906,1487.9696,50.7154,4398.4655,1221.7960,0.0000,0.0032,0.0009,
22:16:28:642,1203419859195513,97.0617,3399,61.2311,5417.9331,1504.9814,51.0892,4449.5642,1235.9901,0.0000,0.0032,0.0009,
