System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:20:48:794,1132224503688861,51.3562,3399,54.1628,1868.3077,518.9744,44.0484,1417.2933,393.6926,0.0000,0.0017,0.0005,
22:20:49:795,1132227705771031,52.3568,3400,54.5479,1922.8659,534.1294,44.4690,1461.7708,406.0474,0.0000,0.0017,0.0005,
22:20:50:795,1132230907863441,53.3575,3399,54.7173,1977.5936,549.3315,44.6216,1506.4008,418.4447,0.0000,0.0017,0.0005,
22:20:51:796,1132234109944174,54.3581,3399,54.3832,2031.9869,564.4408,44.2913,1550.7004,430.7501,0.0000,0.0017,0.0005,
22:20:52:797,1132237312080189,55.3588,3399,54.3864,2086.3839,579.5511,44.3007,1595.0097,443.0583,0.0000,0.0017,0.0005,
22:20:53:797,1132240514157907,56.3594,3399,54.3451,2140.7391,594.6497,44.2595,1639.2774,455.3548,0.0000,0.0017,0.0005,
22:20:54:798,1132243716229526,57.3600,3399,53.9945,2194.7434,609.6509,43.9082,1683.1936,467.5538,0.0000,0.0017,0.0005,
22:20:55:799,1132246918299264,58.3607,3399,54.1768,2248.9304,624.7029,44.0773,1727.2792,479.7998,0.0000,0.0017,0.0005,
22:20:56:799,1132250120435193,59.3613,3399,54.3047,2303.2449,639.7903,44.2571,1771.5443,492.0956,0.0000,0.0017,0.0005,
22:20:57:800,1132253322532401,60.3620,3399,54.1447,2357.4000,654.8333,43.9851,1815.5378,504.3161,0.0000,0.0017,0.0005,
22:20:58:801,1132256524785410,61.3626,3399,54.2018,2411.6143,669.8929,44.1115,1859.6595,516.5721,0.0000,0.0017,0.0005,
22:20:59:801,1132259726868904,62.3633,3399,53.8768,2465.5012,684.8614,43.7702,1903.4379,528.7328,0.0000,0.0017,0.0005,
22:21:00:802,1132262928953593,63.3639,3399,54.1336,2519.6449,699.9014,44.0390,1947.4852,540.9681,0.0000,0.0017,0.0005,
22:21:01:803,1132266131039449,64.3646,3399,54.1439,2573.7990,714.9442,44.0600,1991.5535,553.2093,0.0000,0.0017,0.0005,
22:21:02:803,1132269333141184,65.3652,3399,53.9157,2627.7252,729.9237,43.8104,2035.3724,565.3812,0.0000,0.0017,0.0005,
22:21:03:804,1132272535400980,66.3659,3419,53.9295,2681.6677,744.9077,43.8653,2079.2483,577.5690,0.0000,0.0017,0.0005,
22:21:04:805,1132275737493907,67.3665,3399,54.1440,2735.8220,759.9505,44.0485,2123.3052,589.8070,0.0000,0.0017,0.0005,
22:21:05:805,1132278939586772,68.3672,3399,54.0299,2789.8622,774.9617,43.9725,2167.2861,602.0239,0.0000,0.0017,0.0005,
